# curie_map:
#   linkml: https://w3id.org/linkml/
#   sempav: https://w3id.org/sempav
#   loinc: https://loinc.org/
#   UBERON: http://purl.obolibrary.org/obo/UBERON_
#   skos: http://www.w3.org/2004/02/skos/core#
# license: https://github.com/mapping-commons/mapping-commons.github.io/blob/main/docs/original_license_applies.md
# mapping_date: '2023-05-01'
# mapping_set_id: http://w3id.org/mapping_commons/disease-mappings/onto-icd10
# mapping_tool: https://github.com/mapping-commons/sssom-py
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification comment
loinc:LP7162-3	Cervix	skos:exactMatch	UBERON:0000002	uterine cervix	sempav:HumanCuration	none
loinc:LP7466-8	Pericardial fluid	skos:exactMatch	UBERON:0002409	pericardial fluid	sempav:HumanCuration	none
loinc:LP7443-7	Nose	skos:exactMatch	UBERON:0000004	nose	sempav:HumanCuration	none
loinc:LP7069-0	Blood cord	skos:exactMatch	UBERON:0012168	umbilical cord blood	sempav:HumanCuration	none
loinc:LP281788-2	Blood^Fetus	skos:exactMatch	UBERON:0012168	umbilical cord blood	sempav:HumanCuration	none
loinc:LP29830-4	blood^donor	skos:exactMatch	UBERON:0000178	blood	sempav:HumanCuration	none
loinc:LP7431-2	Milk	skos:exactMatch	UBERON:0001913	milk	sempav:HumanCuration	none
loinc:LP36760-4	Skin	skos:exactMatch	UBERON:0000014	zone of skin	sempav:HumanCuration	none
loinc:LP30364-1	Urethra	skos:exactMatch	UBERON:0000057	urethra	sempav:HumanCuration	none
loinc:LP7068-2	Blood capillary	skos:exactMatch	UBERON:0001982	blood capillary	sempav:HumanCuration	none
loinc:LP7067-4	Blood arterial	skos:exactMatch	UBERON:0013755	arterial blood	sempav:HumanCuration	none
loinc:LP7073-2	Blood venous	skos:exactMatch	UBERON:0013756	venous blood	sempav:HumanCuration	none
loinc:LP7006-2	Anal	skos:exactMatch	UBERON:0001353	anal region	sempav:HumanCuration	none
loinc:LP34092-4	Penis	skos:exactMatch	UBERON:0000989	penis	sempav:HumanCuration	none
loinc:LP7438-7	Nail	skos:exactMatch	UBERON:0001705	nail	sempav:HumanCuration	none
loinc:LP7091-4	Bronchial	skos:exactMatch	UBERON:0002185	bronchus	sempav:HumanCuration	none
loinc:LP36498-1	Bronchoalveolar lavage	skos:exactMatch	UBERON:0006524	alveolar system	sempav:HumanCuration	none
loinc:LP150065-3	Prostatic fluid	skos:exactMatch	UBERON:0004796	prostatic fluid	sempav:HumanCuration	none
loinc:LP7084-9	Brain	skos:exactMatch	UBERON:0000955	brain	sempav:HumanCuration	none
loinc:LP7218-3	Eye	skos:exactMatch	UBERON:0000970	eye	sempav:HumanCuration	none
loinc:LP7477-5	Placenta	skos:exactMatch	UBERON:0001987	placenta	sempav:HumanCuration	none
loinc:LP7217-5	Exudate	skos:exactMatch	UBERON:0007780	exudate	sempav:HumanCuration	none
loinc:LP7618-4	Sweat	skos:exactMatch	UBERON:0001089	sweat	sempav:HumanCuration	none
loinc:LP17770-6	Mucus	skos:exactMatch	UBERON:0000912	mucus	sempav:HumanCuration	none
loinc:LP7161-5	Cervical mucus	skos:exactMatch	UBERON:0000316	cervical mucus	sempav:HumanCuration	none
loinc:LP7407-2	Lung	skos:exactMatch	UBERON:0002048	lung	sempav:HumanCuration	none
loinc:LP7649-9	Trachea	skos:exactMatch	NCBITaxon:988164	trachea	sempav:HumanCuration	none
loinc:LP7717-4	Vomitus	skos:exactMatch	UBERON:0000172	vomitus	sempav:HumanCuration	none
loinc:LP7400-7	Liver	skos:exactMatch	UBERON:0002107	liver	sempav:HumanCuration	none
loinc:LP281813-8	liver^fetus	skos:exactMatch	UBERON:0002107	liver	sempav:HumanCuration	none
loinc:LP7188-8	Ear	skos:exactMatch	UBERON:0001690	ear	sempav:HumanCuration	none
loinc:LP7193-8	Egg yolk	skos:exactMatch	UBERON:0007378	egg yolk	sempav:HumanCuration	none
