subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	mapping_justification	author_id	confidence	mapping_tool	license	mapping_set_title	mapping_set_version	mapping_set_id
MESH:D000068799	Prasugrel Hydrochloride	skos:exactMatch		CHEBI:87697	prasugrel hydrochloride	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000068816	Adapalene	skos:exactMatch		CHEBI:31174	adapalene	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000068836	Rivastigmine	skos:exactMatch		CHEBI:8874	rivastigmine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000068876	Fingolimod Hydrochloride	skos:exactMatch		CHEBI:63112	fingolimod hydrochloride	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000068877	Imatinib Mesylate	skos:exactMatch		CHEBI:31690	imatinib methanesulfonate	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000068882	Paliperidone Palmitate	skos:exactMatch		CHEBI:83807	paliperidone palmitate	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069056	Lurasidone Hydrochloride	skos:exactMatch		CHEBI:70732	lurasidone hydrochloride	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069059	Atorvastatin	skos:exactMatch		CHEBI:39548	atorvastatin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069283	Rituximab	skos:exactMatch		CHEBI:64357	rituximab	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069286	Bortezomib	skos:exactMatch		CHEBI:52717	bortezomib	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069287	Capecitabine	skos:exactMatch		CHEBI:31348	capecitabine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069347	Erlotinib Hydrochloride	skos:exactMatch		CHEBI:53509	erlotinib hydrochloride	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069348	Quetiapine Fumarate	skos:exactMatch		CHEBI:8708	quetiapine fumarate	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069349	Linezolid	skos:exactMatch		CHEBI:63607	linezolid	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069438	Ezetimibe	skos:exactMatch		CHEBI:49040	ezetimibe	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069445	Atomoxetine Hydrochloride	skos:exactMatch		CHEBI:331697	atomoxetine hydrochloride	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069446	Atazanavir Sulfate	skos:exactMatch		CHEBI:31243	atazanavir sulfate	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069447	Tiotropium Bromide	skos:exactMatch		CHEBI:90959	tiotropium bromide	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069449	Cinacalcet	skos:exactMatch		CHEBI:48390	cinacalcet	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069450	Liraglutide	skos:exactMatch		CHEBI:71193	liraglutide	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069454	Darunavir	skos:exactMatch		CHEBI:367163	darunavir	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069458	Ranolazine	skos:exactMatch		CHEBI:87681	ranolazine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069462	Dimethyl Fumarate	skos:exactMatch		CHEBI:76004	dimethyl fumarate	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069464	Solifenacin Succinate	skos:exactMatch		CHEBI:32151	Solifenacin succinate	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069465	Febuxostat	skos:exactMatch		CHEBI:31596	febuxostat	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069470	Venlafaxine Hydrochloride	skos:exactMatch		CHEBI:9944	venlafaxine hydrochloride	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069472	Colesevelam Hydrochloride	skos:exactMatch		CHEBI:59599	colesevelam hydrochloride	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069474	Sofosbuvir	skos:exactMatch		CHEBI:85083	sofosbuvir	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069476	Linagliptin	skos:exactMatch		CHEBI:68610	linagliptin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069501	Abiraterone Acetate	skos:exactMatch		CHEBI:68639	abiraterone acetate	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069503	Vilazodone Hydrochloride	skos:exactMatch		CHEBI:70705	vilazodone hydrochloride	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069547	Cobicistat	skos:exactMatch		CHEBI:72291	cobicistat	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069552	Rivaroxaban	skos:exactMatch		CHEBI:68579	rivaroxaban	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069557	Travoprost	skos:exactMatch		CHEBI:746859	travoprost	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069559	Loteprednol Etabonate	skos:exactMatch		CHEBI:31784	loteprednol etabonate	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069580	Bimatoprost	skos:exactMatch		CHEBI:51230	bimatoprost	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069582	Eszopiclone	skos:exactMatch		CHEBI:53760	eszopiclone	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069583	Pregabalin	skos:exactMatch		CHEBI:64356	pregabalin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069604	Dabigatran	skos:exactMatch		CHEBI:70752	dabigatran	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069605	Olopatadine Hydrochloride	skos:exactMatch		CHEBI:31933	Olopatadine hydrochloride	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000069616	Simeprevir	skos:exactMatch		CHEBI:134743	simeprevir	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000070	Acebutolol	skos:exactMatch		CHEBI:2379	acebutolol	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000072	Acedapsone	skos:exactMatch		CHEBI:139474	acedapsone	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000072317	Polychlorinated Dibenzodioxins	skos:exactMatch		CHEBI:36682	polychlorinated dibenzodioxine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000072318	Dibenzofurans	skos:exactMatch		CHEBI:38922	dibenzofurans	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000072338	Dibenzofurans, Polychlorinated	skos:exactMatch		CHEBI:134046	polychlorinated dibenzofuran	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000072376	Oxysterols	skos:exactMatch		CHEBI:53030	oxysterol	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000072664	Provitamins	skos:exactMatch		CHEBI:50188	provitamin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000073	Acenaphthenes	skos:exactMatch		CHEBI:22156	acenaphthenes	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000074	Acenocoumarol	skos:exactMatch		CHEBI:53766	acenocoumarol	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000074382	Greenhouse Gases	skos:exactMatch		CHEBI:76413	greenhouse gas	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000075	Acepromazine	skos:exactMatch		CHEBI:44932	acepromazine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000075163	Metallocenes	skos:exactMatch		CHEBI:33963	metallocene	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000077122	Sugammadex	skos:exactMatch		CHEBI:90953	sugammadex	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000077123	Rocuronium	skos:exactMatch		CHEBI:8884	rocuronium	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000077143	Docetaxel	skos:narrowMatch		CHEBI:4672	docetaxel anhydrous	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000077143	Docetaxel	skos:narrowMatch		CHEBI:59809	docetaxel trihydrate 	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000077144	Clopidogrel	skos:exactMatch		CHEBI:37941	clopidogrel	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000077145	Sulfanilamide	skos:exactMatch		CHEBI:45373	sulfanilamide	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000077146	Irinotecan	skos:exactMatch		CHEBI:80630	irinotecan	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000077149	Sevoflurane	skos:exactMatch		CHEBI:9130	sevoflurane	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000077150	Oxaliplatin	skos:exactMatch		CHEBI:31941	oxaliplatin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000077152	Olanzapine	skos:exactMatch		CHEBI:7735	olanzapine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000077154	Rosiglitazone	skos:exactMatch		CHEBI:50122	rosiglitazone	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000077156	Gefitinib	skos:exactMatch		CHEBI:49668	gefitinib	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000077157	Sorafenib	skos:exactMatch		CHEBI:50924	sorafenib	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000077185	Resveratrol	skos:exactMatch		CHEBI:27881	resveratrol	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
MESH:D000077191	Wortmannin	skos:exactMatch		CHEBI:52289	wortmannin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346			https://creativecommons.org/publicdomain/zero/1.0/	Biomappings	0.3.5	https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv
