subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	author_id	confidence	mapping_tool
MESH:C028405	2-naphthol	skos:exactMatch	CHEBI:10432	2-naphthol	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C443996	beta-ocimene	skos:exactMatch	CHEBI:10436	beta-ocimene	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C010499	beta-Peltatin A methyl ether	skos:exactMatch	CHEBI:10437	beta-peltatin A methyl ether	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C000609860	1H-indazol-3-amine	skos:exactMatch	CHEBI:104899	1H-indazol-3-amine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C045984	gamma-Coniceine	skos:exactMatch	CHEBI:10561	gamma-coniceine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C049193	gamma-Fagarine	skos:exactMatch	CHEBI:10562	gamma-fagarine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C018669	gamma-terpinene	skos:exactMatch	CHEBI:10577	gamma-terpinene	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C008240	k-Strophanthoside	skos:exactMatch	CHEBI:10582	K-strophanthoside	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C061729	3-carboxyphenyl phenylacetamidomethylphosphonate	skos:exactMatch	CHEBI:10586	3-carboxyphenyl phenylacetamidomethylphosphonate	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C015068	1-(3-chlorophenyl)piperazine	skos:exactMatch	CHEBI:10588	1-(3-chlorophenyl)piperazine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C011748	2,3-diacetyloxybenzoic acid	skos:exactMatch	CHEBI:107635	tosiben	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370		
MESH:C559746	4,5-dimethoxy-2-nitrobenzaldehyde	skos:exactMatch	CHEBI:108597	4,5-dimethoxy-2-nitrobenzaldehyde	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C046235	3,4-dichloroisocoumarin	skos:exactMatch	CHEBI:109540	3,4-dichloroisocoumarin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C002276	5,7-dibromo-8-quinolinol	skos:exactMatch	CHEBI:109543	broxyquinoline	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370		
MESH:C074266	4-phenyl-1,2,3,4-tetrahydroisoquinoline	skos:exactMatch	CHEBI:111163	4-phenyl-1,2,3,4-tetrahydroisoquinoline	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C087784	dimethylmalonic acid	skos:exactMatch	CHEBI:111517	2,2-dimethylmalonic acid	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370		
MESH:C044297	1,2-didecanoylglycerol	skos:exactMatch	CHEBI:11152	1,2-didecanoylglycerol	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C586497	valienone	skos:exactMatch	CHEBI:111521	valienone	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C003466	thymoquinone	skos:exactMatch	CHEBI:113532	thymoquinone	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C034031	2,4,5-trimethoxybenzaldehyde	skos:exactMatch	CHEBI:113543	2,4,5-trimethoxybenzaldehyde	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C531866	2-hydroxyethylphosphonic acid	skos:exactMatch	CHEBI:1159	2-hydroxyethylphosphonic acid	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C053091	lomefloxacin	skos:exactMatch	CHEBI:116278	lomefloxacin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C012241	4-chloroacetanilide	skos:exactMatch	CHEBI:116915	4-chloroacetanilide	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C531865	2-hydroxypropylphosphonic acid	skos:exactMatch	CHEBI:1171	2-hydroxypropylphosphonic acid	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C098320	efavirenz	skos:exactMatch	CHEBI:119486	efavirenz	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C048271	4-fluoro-L-threonine	skos:exactMatch	CHEBI:11986	4-fluorothreonine	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370		
MESH:C056270	2-N-Dodecyltetrahydrothiophene	skos:exactMatch	CHEBI:1220	2-n-dodecyltetrahydrothiophene	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370		
MESH:C056269	2-N-Undecyltetrahydrothiophene	skos:exactMatch	CHEBI:1221	2-n-undecyltetrahydrothiophene	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370		
MESH:C014168	2-propyl-2-pentenoic acid	skos:exactMatch	CHEBI:124938	2-propyl-2-pentenoic acid	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C050386	1-methyl-1,2,3,4-tetrahydroisoquinoline	skos:exactMatch	CHEBI:125372	1-methyl-1,2,3,4-tetrahydroisoquinoline	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C103464	1-methylisoquinoline	skos:exactMatch	CHEBI:125469	1-methylisoquinoline	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C014843	1,2,3,4-tetrahydroisoquinoline	skos:exactMatch	CHEBI:125498	1,2,3,4-tetrahydroisoquinoline	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C054479	N-acetyltyramine	skos:exactMatch	CHEBI:125610	N-acetyltyramine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C034347	enprofylline	skos:exactMatch	CHEBI:126237	enprofylline	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C071436	cinalukast	skos:exactMatch	CHEBI:126598	cinalukast	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C066041	24-methylenecycloartanol	skos:exactMatch	CHEBI:1307	24-methylene cycloartanol	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C528561	navitoclax	skos:exactMatch	CHEBI:131174	navitoclax	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C000621940	pinacol	skos:exactMatch	CHEBI:131185	pinacol	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:D005898	glass	skos:exactMatch	CHEBI:131189	Glass	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C000629127	triazoloquinazoline	skos:exactMatch	CHEBI:131355	triazoloquinazoline	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C473202	2-methyl-1,2-butanediol	skos:exactMatch	CHEBI:131357	2-methyl-1,2-butanediol	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C518875	BAY 60-6583	skos:exactMatch	CHEBI:131358	BAY 60-6583	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C059167	2,2,4,4,6,8,8-heptamethylnonane	skos:exactMatch	CHEBI:131383	2,2,4,4,6,8,8-heptamethylnonane	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C014537	(2-ethoxyethoxy)acetic acid	skos:exactMatch	CHEBI:131424	(2-ethoxyethoxy)acetic acid	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C016502	5-hydroxyhexanoic acid	skos:exactMatch	CHEBI:131434	5-hydroxyhexanoic acid	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C030669	BW 245C	skos:exactMatch	CHEBI:131496	BW 245C	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C570561	pyridoxamine dihydrochloride	skos:exactMatch	CHEBI:131532	pyridoxamine dihydrochloride	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C571996	fluensulfone	skos:exactMatch	CHEBI:131597	fluensulfone	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C000608133	biliatresone	skos:exactMatch	CHEBI:131631	biliatresone	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C494891	shinorine	skos:exactMatch	CHEBI:131712	shinorine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C021083	rosoxacin	skos:exactMatch	CHEBI:131715	rosoxacin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C419689	garenoxacin	skos:exactMatch	CHEBI:131716	garenoxacin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C045925	flurithromycin	skos:exactMatch	CHEBI:131719	flurithromycin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C012049	sulfaperin	skos:exactMatch	CHEBI:131722	sulfaperine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C486448	iclaprim	skos:exactMatch	CHEBI:131724	iclaprim	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C021341	cefazedone	skos:exactMatch	CHEBI:131731	cefazedone	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C010434	clometocillin	skos:exactMatch	CHEBI:131732	clometacillin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C000619816	indole-5-carboxylic acid	skos:exactMatch	CHEBI:131778	indole-5-carboxylic acid	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C000598979	vibsanin B	skos:exactMatch	CHEBI:131781	vibsanin B	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C511704	xestospongin C	skos:exactMatch	CHEBI:131784	xestospongin C	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C072173	Ro 5-3335	skos:exactMatch	CHEBI:131785	Ro 5-3335	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C556941	swertisin	skos:exactMatch	CHEBI:131838	swertisin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C456585	2-hydroxy-2-methylpropanal	skos:exactMatch	CHEBI:131846	2-hydroxy-2-methylpropanal	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C054368	fotemustine	skos:exactMatch	CHEBI:131848	fotemustine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C063155	violacein	skos:exactMatch	CHEBI:131914	violacein	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C496827	salubrinal	skos:exactMatch	CHEBI:131923	salubrinal	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C019040	phenazine-1,6-dicarboxylate	skos:exactMatch	CHEBI:131980	phenazine-1,6-dicarboxylate	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C521377	topramezone	skos:exactMatch	CHEBI:131999	topramezone	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C053500	perindoprilat	skos:exactMatch	CHEBI:132041	perindoprilat	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C016904	norverapamil	skos:exactMatch	CHEBI:132050	norverapamil	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C542355	flufenpyr-ethyl	skos:exactMatch	CHEBI:132056	flufenpyr-ethyl	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C118739	entinostat	skos:exactMatch	CHEBI:132082	entinostat	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C464576	SU11652	skos:exactMatch	CHEBI:132084	SU 11652	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C031068	sodium perchlorate	skos:exactMatch	CHEBI:132103	sodium perchlorate	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C514135	sodium propionate	skos:exactMatch	CHEBI:132106	sodium propionate	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C017717	sodium thiosulfate	skos:exactMatch	CHEBI:132112	sodium thiosulfate	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C000624496	3,5-dimethylorsellinic acid	skos:exactMatch	CHEBI:132131	3,5-dimethylorsellinic acid	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C535115	wilforine	skos:exactMatch	CHEBI:132150	wilforine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C029949	5,6-dihydrothymidine	skos:exactMatch	CHEBI:132171	5,6-dihydrothymidine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C015057	celacinnine	skos:exactMatch	CHEBI:132186	celacinnine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C056817	3',4'-Anhydrovinblastine	skos:exactMatch	CHEBI:1322	3',4'-anhydrovinblastine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C080260	marbofloxacin	skos:exactMatch	CHEBI:132230	marbofloxacin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C084079	triptonide	skos:exactMatch	CHEBI:132267	triptonide	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C525726	dacomitinib	skos:exactMatch	CHEBI:132268	dacomitinib	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C585552	tembotrione	skos:exactMatch	CHEBI:132273	tembotrione	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C073069	2,5-dichlorobenzoic acid	skos:exactMatch	CHEBI:132298	2,5-dichlorobenzoic acid	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C558219	cyantraniliprole	skos:exactMatch	CHEBI:132300	cyantraniliprole	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C099855	demethylzeylasteral	skos:exactMatch	CHEBI:132314	demethylzeylasteral	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C000606134	citral dimethyl acetal	skos:exactMatch	CHEBI:132331	citral dimethyl acetal	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C479287	wilforgine	skos:exactMatch	CHEBI:132334	wilforgine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C082052	triptoditerpenic acid B	skos:exactMatch	CHEBI:132337	triptoditerpenic acid B	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C035062	neotriptophenolide	skos:exactMatch	CHEBI:132346	neotriptophenolide	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C032303	triptonolide	skos:exactMatch	CHEBI:132347	triptonolide	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C100591	triptoquinone A	skos:exactMatch	CHEBI:132352	triptoquinone A	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C000655017	tetraniliprole	skos:exactMatch	CHEBI:132355	tetraniliprole	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C031487	2,3,4,6-tetrachlorophenol	skos:exactMatch	CHEBI:132359	2,3,4,6-tetrachlorophenol	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C471118	wilforol A	skos:exactMatch	CHEBI:132378	wilforol A	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C419238	cangoronin	skos:exactMatch	CHEBI:132380	cangoronine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C514314	tripfordine C	skos:exactMatch	CHEBI:132382	tripfordine C	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C495190	marmesinin	skos:exactMatch	CHEBI:132401	marmesinin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C539334	chondrochloren A	skos:exactMatch	CHEBI:132426	chondrochloren A	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C539335	chondrochloren B	skos:exactMatch	CHEBI:132442	chondrochloren B	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C471071	perfluorohexanesulfonic acid	skos:exactMatch	CHEBI:132448	perfluorohexanesulfonic acid	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C464490	1,1'-dihydroxy-3,4-didehydrolycopene	skos:exactMatch	CHEBI:132450	1,1'-dihydroxy-3,4-didehydrolycopene	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C437364	SW-163E	skos:exactMatch	CHEBI:132470	SW-163E	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C045491	hyrtial	skos:exactMatch	CHEBI:132487	hyrtial	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C000622719	HG-10-102-01	skos:exactMatch	CHEBI:132509	HG-10-102-01	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C583914	wilforidine	skos:exactMatch	CHEBI:132512	wilforidine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C009055	3-cyanoalanine	skos:exactMatch	CHEBI:132546	propargylglycine	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370		
MESH:C471400	monoisononyl phthalate	skos:exactMatch	CHEBI:132593	monoisononylphthalate	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C080276	mono(2-ethyl-5-oxohexyl) phthalate	skos:exactMatch	CHEBI:132606	mono(2-ethyl-5-oxohexyl)phthalate	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C479069	mono(2-ethyl-5-hydroxyhexyl) phthalate	skos:exactMatch	CHEBI:132607	mono(2-ethyl-5-hydroxyhexyl) phthalate	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C054162	triptonoterpenol	skos:exactMatch	CHEBI:132613	triptonoterpenol	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C064307	orthosphenic acid	skos:exactMatch	CHEBI:132615	orthosphenic acid	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C064305	triptotriterpenic acid B	skos:exactMatch	CHEBI:132616	triptotriterpenic acid B	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C061743	triptotriterpenic acid C	skos:exactMatch	CHEBI:132617	triptotriterpenic acid C	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C053943	regelin	skos:exactMatch	CHEBI:132619	regelin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C076300	16-hydroxytriptolide	skos:exactMatch	CHEBI:132621	16-hydroxytriptolide	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C035063	triptophenolide methyl ether	skos:exactMatch	CHEBI:132622	triptophenolide methyl ether	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C064386	columbianadin	skos:exactMatch	CHEBI:132624	columbianadin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C076302	columbianetin acetate	skos:exactMatch	CHEBI:132626	columbianetin acetate	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C423465	isotalatizidine	skos:exactMatch	CHEBI:132628	isotalatizidine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C487396	neoline	skos:exactMatch	CHEBI:132629	neoline	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C479202	benzoylhypaconine	skos:exactMatch	CHEBI:132634	benzoylhypaconine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C057219	deoxyaconitine	skos:exactMatch	CHEBI:132636	deoxyaconitine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C576643	crassicauline A	skos:exactMatch	CHEBI:132638	crassicauline A	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C047306	aconine	skos:exactMatch	CHEBI:132639	aconine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C077860	acuminatin	skos:exactMatch	CHEBI:132649	acuminatin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C053585	burchellin	skos:exactMatch	CHEBI:132650	burchellin	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C470614	kadsurenin C	skos:exactMatch	CHEBI:132651	kadsurenin C	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
MESH:C415282	piperlactam S	skos:exactMatch	CHEBI:132657	piperlactam S	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
