# curie_map:
#   HP: http://purl.obolibrary.org/obo/HP_
#   SCTID: http://purl.obolibrary.org/obo/SCTID_
#   MONARCHPROP: https://data.monarchinitiative.org/property/
#   biolink: http://w3id.org/biolink/vocab/
# comment: Work in progress (Updated 2025-02-18). This is the beginning of a mapping file between HPO and SNOMED-CT.
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_set_id: http://w3id.org/sssom/commons/monarch/hpo-snomed.sssom.tsv
# see_also: https://www.snomed.org/news/snomed-and-the-monarch-initiative-collaborate-to-develop-two-way-maps-for-hpo
subject_id	subject_label	subject_category	predicate_id	object_id	object_label	object_category	ext_custom_predicate_id	mapping_justification	ext_comment_tg	ext_comment_sm
HP:0000048	Bifid scrotum	biolink:PhenotypicFeature	skos:exactMatch	SCTID:236780002	Bifid scrotum (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000049	Shawl scrotum	biolink:PhenotypicFeature	skos:broadMatch	SCTID:249232003	Scrotum finding (finding)	biolink:PhenotypicFeature	semapv:findingToFindingBroadMatch	semapv:ManualMappingCuration		
HP:0000051	Perineal hypospadias	biolink:PhenotypicFeature	skos:exactMatch	SCTID:204890004	Hypospadias, perineal (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000052	Urethral atresia, male	biolink:PhenotypicFeature	skos:broadMatch	SCTID:253902002	Atresia of urethra (disorder)	biolink:Disease	semapv:findingToDisorderBroadMatch	semapv:ManualMappingCuration		
HP:0000054	Micropenis	biolink:PhenotypicFeature	skos:exactMatch	SCTID:34911001	Congenital hypoplasia of penis (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000059	Hypoplastic labia majora	biolink:PhenotypicFeature	skos:exactMatch	SCTID:289469003	Small labia majora (finding)	biolink:PhenotypicFeature	semapv:findingToFindingExactMatch	semapv:ManualMappingCuration		
HP:0000060	Clitoral hypoplasia	biolink:PhenotypicFeature	skos:exactMatch	SCTID:248869003	Small clitoris (finding)	biolink:PhenotypicFeature	semapv:findingToFindingExactMatch	semapv:ManualMappingCuration		
HP:0000061	Ambiguous genitalia, female	biolink:PhenotypicFeature	skos:broadMatch	SCTID:21321009	Ambiguous genitalia (disorder)	biolink:Disease	semapv:findingToDisorderBroadMatch	semapv:ManualMappingCuration		
HP:0000064	Hypoplastic labia minora	biolink:PhenotypicFeature	skos:exactMatch	SCTID:289471003	Small labia minora (finding)	biolink:PhenotypicFeature	semapv:findingToFindingExactMatch	semapv:ManualMappingCuration		
HP:0000067	Urethral atresia, female	biolink:PhenotypicFeature	skos:broadMatch	SCTID:253902002	Atresia of urethra (disorder)	biolink:Disease	semapv:findingToDisorderBroadMatch	semapv:ManualMappingCuration		
HP:0000070	Ureterocele	biolink:PhenotypicFeature	skos:exactMatch	SCTID:12818004	Ureterocele (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000074	Ureteropelvic junction obstruction	biolink:PhenotypicFeature	skos:exactMatch	SCTID:373584008	Congenital obstruction of ureteropelvic junction (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000081	Duplicated collecting system	biolink:PhenotypicFeature	skos:exactMatch	SCTID:707770004	Congenital duplication of renal collecting system (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000085	Horseshoe kidney	biolink:PhenotypicFeature	skos:exactMatch	SCTID:41729002	Horseshoe kidney (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000090	Nephronophthisis	biolink:PhenotypicFeature	skos:exactMatch	SCTID:204958008	Nephronophthisis (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000097	Focal segmental glomerulosclerosis	biolink:PhenotypicFeature	skos:exactMatch	SCTID:236403004	Focal segmental glomerulosclerosis (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000103	Polyuria	biolink:PhenotypicFeature	skos:exactMatch	SCTID:28442001	Polyuria (finding)	biolink:PhenotypicFeature	semapv:findingToFindingExactMatch	semapv:ManualMappingCuration		
HP:0000105	Enlarged kidney	biolink:PhenotypicFeature	skos:exactMatch	SCTID:300444006	Large kidney (finding)	biolink:PhenotypicFeature	semapv:findingToFindingExactMatch	semapv:ManualMappingCuration		
HP:0000112	Nephropathy	biolink:PhenotypicFeature	skos:exactMatch	SCTID:90708001	Kidney disease (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000113	Polycystic kidney dysplasia	biolink:PhenotypicFeature	skos:exactMatch	SCTID:82525005	Congenital cystic kidney disease (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000117	Renal phosphate wasting	biolink:PhenotypicFeature	skos:exactMatch	SCTID:197664009	Phosphate-losing tubular disorders (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000122	Unilateral renal agenesis	biolink:PhenotypicFeature	skos:broadMatch	SCTID:204942005	Renal agenesis (disorder)	biolink:Disease	semapv:findingToDisorderBroadMatch	semapv:ManualMappingCuration	SNOMED defines concrete terms for laterality 762907005 | Agenesis of left kidney (disorder) and 762908000 | Agenesis of right kidney (disorder)	
HP:0000125	Pelvic kidney	biolink:PhenotypicFeature	skos:exactMatch	SCTID:56108007	Congenital pelvic kidney (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000126	Hydronephrosis	biolink:PhenotypicFeature	skos:exactMatch	SCTID:43064006	Hydronephrosis (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000127	Renal salt wasting	biolink:PhenotypicFeature	skos:broadMatch	SCTID:167426005	Urine electrolytes abnormal (finding)	biolink:PhenotypicFeature	semapv:findingToFindingBroadMatch	semapv:ManualMappingCuration		
HP:0000127	Renal salt wasting	biolink:PhenotypicFeature	skos:broadMatch	SCTID:123807007	Sodium disorder (disorder)	biolink:Disease	semapv:findingToDisorderBroadMatch	semapv:ManualMappingCuration		findingToFindingCloseMatch?
HP:0000128	Renal potassium wasting	biolink:PhenotypicFeature	skos:broadMatch	SCTID:24529006	Potassium disorder (disorder)	biolink:Disease	semapv:findingToDisorderBroadMatch	semapv:ManualMappingCuration		
HP:0000131	Uterine leiomyoma	biolink:PhenotypicFeature	skos:exactMatch	SCTID:95315005	Uterine leiomyoma (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000132	Menorrhagia	biolink:PhenotypicFeature	skos:exactMatch	SCTID:386692008	Menorrhagia (finding)	biolink:PhenotypicFeature	semapv:findingToFindingExactMatch	semapv:ManualMappingCuration		
HP:0000134	Female hypogonadism	biolink:PhenotypicFeature	skos:exactMatch	SCTID:16041008	Female hypogonadism syndrome (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000136	Bifid uterus	biolink:PhenotypicFeature	skos:exactMatch	SCTID:31401003	Bicornuate uterus (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000139	Uterine prolapse	biolink:PhenotypicFeature	skos:exactMatch	SCTID:24976005	Uterine prolapse (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000143	Rectovaginal fistula	biolink:PhenotypicFeature	skos:exactMatch	SCTID:65619001	Rectovaginal fistula (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000145	Transverse vaginal septum	biolink:PhenotypicFeature	skos:exactMatch	SCTID:142191000119104	Congenital transverse septate vagina (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000148	Vaginal atresia	biolink:PhenotypicFeature	skos:exactMatch	SCTID:10736081000119101	Congenital atresia of vagina (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000149	Ovarian gonadoblastoma	biolink:PhenotypicFeature	skos:exactMatch	SCTID:716594002	Gonadoblastoma of ovary (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000151	Aplasia of the uterus	biolink:PhenotypicFeature	skos:exactMatch	SCTID:17142008	Congenital absence of uterus (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000196	Lower lip pit	biolink:PhenotypicFeature	skos:exactMatch	SCTID:403438007	Congenital lower lip pits (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000214	Lip telangiectasia	biolink:PhenotypicFeature	skos:broadMatch	SCTID:112641009	Telangiectasis (morphologic abnormality)		semapv:findingToFindingBroadMatch	semapv:ManualMappingCuration	Secondary mapping: 247479008 | Telangiectasia disorder (disorder)	ok - a more specific match might be SCTID:125278009  Focal telangiectasis (morphologic abnormality)
HP:0000222	Gingival hyperkeratosis	biolink:PhenotypicFeature	skos:broadMatch	SCTID:26996000	Hyperkeratosis (morphologic abnormality)		semapv:findingToFindingBroadMatch	semapv:ManualMappingCuration	Secondary mapping: 254666005 | Keratosis (disorder)	ok - a more specific match might be SCTID:110445001 Focal hyperkeratosis (morphologic abnormality)
HP:0000224	Hypogeusia	biolink:PhenotypicFeature	skos:exactMatch	SCTID:697990000	Hypogeusia (finding)	biolink:PhenotypicFeature	semapv:findingToFindingExactMatch	semapv:ManualMappingCuration		
HP:0000227	Tongue telangiectasia	biolink:PhenotypicFeature	skos:broadMatch	SCTID:112641009	Telangiectasis (morphologic abnormality)		semapv:findingToFindingBroadMatch	semapv:ManualMappingCuration	Secondary mapping: 247479008 | Telangiectasia disorder (disorder)	ok - a more specific match might be SCTID:125278009  Focal telangiectasis (morphologic abnormality)
HP:0000227	Tongue telangiectasia	biolink:PhenotypicFeature	skos:broadMatch	SCTID:112641009	Telangiectasis (morphologic abnormality)		semapv:findingToFindingBroadMatch	semapv:ManualMappingCuration	Secondary mapping: 247479008 | Telangiectasia disorder (disorder)	
HP:0000253	Progressive microcephaly	biolink:PhenotypicFeature	skos:broadMatch	SCTID:1148757008	Microcephaly (finding)	biolink:PhenotypicFeature	semapv:findingToFindingBroadMatch	semapv:ManualMappingCuration		
HP:0000255	Acute sinusitis	biolink:PhenotypicFeature	skos:exactMatch	SCTID:15805002	Acute sinusitis (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000294	Low anterior hairline	biolink:PhenotypicFeature	skos:exactMatch	sssom:NoTermFound			skos:mappingRelation	semapv:ManualMappingCuration		
HP:0000316	Hypertelorism	biolink:PhenotypicFeature	skos:exactMatch	SCTID:22006008	Hypertelorism (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000317	Facial myokymia	biolink:PhenotypicFeature	skos:exactMatch	SCTID:1070000	Facial myokymia (finding)	biolink:PhenotypicFeature	semapv:findingToFindingExactMatch	semapv:ManualMappingCuration		
HP:0000349	Widow's peak	biolink:PhenotypicFeature	skos:exactMatch	sssom:NoTermFound			skos:mappingRelation	semapv:ManualMappingCuration		
HP:0000384	Preauricular skin tag	biolink:PhenotypicFeature	skos:exactMatch	SCTID:204245004	Accessory tragus (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration	Ambiguous: HPO term lists 'Preauricular tag' as synonym, which is a synonym of SCTID:204245004. 'Accessory tragus' however is listed as synonym of HP:0030024 | Pretragal ectopia	
HP:0000434	Nasal mucosa telangiectasia	biolink:PhenotypicFeature	skos:broadMatch	SCTID:112641009	Telangiectasis (morphologic abnormality)		semapv:findingToFindingBroadMatch	semapv:ManualMappingCuration	Secondary mapping: 247479008 | Telangiectasia disorder (disorder)	ok - a more specific match might be SCTID:125278009  Focal telangiectasis (morphologic abnormality)
HP:0000434	Nasal mucosa telangiectasia	biolink:PhenotypicFeature	skos:broadMatch	SCTID:112641009	Telangiectasis (morphologic abnormality)		semapv:findingToFindingBroadMatch	semapv:ManualMappingCuration	Secondary mapping: 247479008 | Telangiectasia disorder (disorder)	
HP:0000482	Microcornea	biolink:PhenotypicFeature	skos:exactMatch	SCTID:26098002	Microcornea (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000484	Hyperopic astigmatism	biolink:PhenotypicFeature	skos:exactMatch	SCTID:449734001	Hyperopic astigmatism (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000485	Megalocornea	biolink:PhenotypicFeature	skos:exactMatch	SCTID:268158009	Megalocornea (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		ok
HP:0000490	Deeply set eye	biolink:PhenotypicFeature	skos:exactMatch	SCTID:246923005	Sunken eyes (finding)	biolink:PhenotypicFeature	semapv:findingToFindingExactMatch	semapv:ManualMappingCuration		
HP:0000503	Tortuosity of conjunctival vessels	biolink:PhenotypicFeature	skos:broadMatch	SCTID:246875002	Conjunctival finding (finding)	biolink:PhenotypicFeature	semapv:findingToFindingBroadMatch	semapv:ManualMappingCuration		
HP:0000522	Alacrima	biolink:PhenotypicFeature	skos:exactMatch	SCTID:253215004	Alacrima (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000524	Conjunctival telangiectasia	biolink:PhenotypicFeature	skos:broadMatch	SCTID:112641009	Telangiectasis (morphologic abnormality)		semapv:findingToFindingBroadMatch	semapv:ManualMappingCuration	Secondary mapping: 247479008 | Telangiectasia disorder (disorder)	
HP:0000524	Conjunctival telangiectasia	biolink:PhenotypicFeature	skos:broadMatch	SCTID:112641009	Telangiectasis (morphologic abnormality)		semapv:findingToFindingBroadMatch	semapv:ManualMappingCuration	Secondary mapping: 247479008 | Telangiectasia disorder (disorder)	Analogous to HP:0000503 (see above, 417) I would prefer SCTID:246875002 ("Conjunctival finding") --> findingToFindingBroad Match
HP:0000526	Aniridia	biolink:PhenotypicFeature	skos:exactMatch	SCTID:69278003	Congenital aniridia (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000531	Corneal crystals	biolink:PhenotypicFeature	skos:exactMatch	SCTID:74460005	Corneal deposit (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration	Secondary mapping: 678881000119107 | Deposit in bilateral corneas (disorder)	
HP:0000535	Sparse and thin eyebrow	biolink:PhenotypicFeature	skos:exactMatch	sssom:NoTermFound			skos:mappingRelation	semapv:ManualMappingCuration		
HP:0000538	Pseudopapilledema	biolink:PhenotypicFeature	skos:exactMatch	SCTID:57138009	Pseudopapilledema (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000542	Impaired ocular adduction	biolink:PhenotypicFeature	skos:exactMatch	sssom:NoTermFound			skos:mappingRelation	semapv:ManualMappingCuration		
HP:0000550	Undetectable electroretinogram	biolink:PhenotypicFeature	skos:broadMatch	SCTID:274524001	Electroretinogram abnormal (finding)	biolink:PhenotypicFeature	semapv:findingToFindingBroadMatch	semapv:ManualMappingCuration		
HP:0000552	Tritanomaly	biolink:PhenotypicFeature	skos:exactMatch	SCTID:51886007	Tritan defect (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000555	Leukocoria	biolink:PhenotypicFeature	skos:exactMatch	SCTID:1361009	Leukocoria (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000557	Buphthalmos	biolink:PhenotypicFeature	skos:exactMatch	SCTID:413728006	Buphthalmos (finding)	biolink:PhenotypicFeature	semapv:findingToFindingExactMatch	semapv:ManualMappingCuration		
HP:0000558	Rieger anomaly	biolink:PhenotypicFeature	skos:exactMatch	SCTID:47507006	Rieger syndrome (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000559	Corneal scarring	biolink:PhenotypicFeature	skos:exactMatch	SCTID:95726001	Corneal scar (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000563	Keratoconus	biolink:PhenotypicFeature	skos:exactMatch	SCTID:65636009	Keratoconus (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000574	Thick eyebrow	biolink:PhenotypicFeature	skos:exactMatch	sssom:NoTermFound			skos:mappingRelation	semapv:ManualMappingCuration		
HP:0000576	Centrocecal scotoma	biolink:PhenotypicFeature	skos:exactMatch	SCTID:33014001	Centrocecal scotoma (finding)	biolink:PhenotypicFeature	semapv:findingToFindingExactMatch	semapv:ManualMappingCuration		
HP:0000585	Band keratopathy	biolink:PhenotypicFeature	skos:exactMatch	SCTID:35055000	Band-shaped keratopathy (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		ok
HP:0000588	Optic disc coloboma	biolink:PhenotypicFeature	skos:exactMatch	SCTID:44295002	Congenital coloboma of optic disc (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000590	Progressive external ophthalmoplegia	biolink:PhenotypicFeature	skos:exactMatch	SCTID:46252003	Progressive external ophthalmoplegia (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000592	Blue sclerae	biolink:PhenotypicFeature	skos:exactMatch	SCTID:204164000	Blue sclera (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000594	Shallow anterior chamber	biolink:PhenotypicFeature	skos:exactMatch	SCTID:246986004	Shallow anterior chamber of eye (finding)	biolink:PhenotypicFeature	semapv:findingToFindingExactMatch	semapv:ManualMappingCuration		
HP:0000601	Hypotelorism	biolink:PhenotypicFeature	skos:exactMatch	SCTID:44593008	Orbital separation diminished (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000603	Central scotoma	biolink:PhenotypicFeature	skos:exactMatch	SCTID:38950008	Central scotoma (finding)	biolink:PhenotypicFeature	semapv:findingToFindingExactMatch	semapv:ManualMappingCuration		
HP:0000607	Periorbital wrinkles	biolink:PhenotypicFeature	skos:exactMatch	SCTID:10360000	Crow's feet (finding)	biolink:PhenotypicFeature	semapv:findingToFindingExactMatch	semapv:ManualMappingCuration		
HP:0000612	Iris coloboma	biolink:PhenotypicFeature	skos:exactMatch	SCTID:51485001	Congenital coloboma of iris (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000613	Photophobia	biolink:PhenotypicFeature	skos:exactMatch	SCTID:409668002	Photophobia (finding)	biolink:PhenotypicFeature	semapv:findingToFindingExactMatch	semapv:ManualMappingCuration		
HP:0000619	Impaired convergence	biolink:PhenotypicFeature	skos:exactMatch	SCTID:194131002	Convergence insufficiency (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000623	Supranuclear ophthalmoplegia	biolink:PhenotypicFeature	skos:narrowMatch	SCTID:28978003	Progressive supranuclear ophthalmoplegia (disorder)	biolink:Disease	semapv:findingToFindingNarrowMatch	semapv:ManualMappingCuration		
HP:0000627	Posterior embryotoxon	biolink:PhenotypicFeature	skos:exactMatch	SCTID:392437005	Posterior embryotoxon (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000634	Impaired ocular abduction	biolink:PhenotypicFeature	skos:exactMatch	sssom:NoTermFound			skos:mappingRelation	semapv:ManualMappingCuration		
HP:0000635	Blue irides	biolink:PhenotypicFeature	skos:exactMatch	SCTID:301952009	Blue iris (finding)	biolink:PhenotypicFeature	semapv:findingToFindingExactMatch	semapv:ManualMappingCuration		
HP:0000643	Blepharospasm	biolink:PhenotypicFeature	skos:exactMatch	SCTID:59026006	Blepharospasm (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000646	Amblyopia	biolink:PhenotypicFeature	skos:exactMatch	SCTID:387742006	Amblyopia (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000647	Sclerocornea	biolink:PhenotypicFeature	skos:exactMatch	SCTID:95479005	Congenital sclerocornea (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000650	Abnormal amplitude of pattern reversal visual evoked potentials	biolink:PhenotypicFeature	skos:exactMatch	sssom:NoTermFound			skos:mappingRelation	semapv:ManualMappingCuration		
HP:0000651	Diplopia	biolink:PhenotypicFeature	skos:exactMatch	SCTID:24982008	Diplopia (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000654	Decreased light- and dark-adapted electroretinogram amplitude	biolink:PhenotypicFeature	skos:broadMatch	SCTID:274524001	Electroretinogram abnormal (finding)	biolink:PhenotypicFeature	semapv:findingToFindingBroadMatch	semapv:ManualMappingCuration		
HP:0000657	Oculomotor apraxia	biolink:PhenotypicFeature	skos:exactMatch	SCTID:193662007	Oculomotor apraxia (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000658	Eyelid apraxia	biolink:PhenotypicFeature	skos:exactMatch	SCTID:423142006	Apraxia of eyelid (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000660	Lipemia retinalis	biolink:PhenotypicFeature	skos:exactMatch	SCTID:95692001	Lipidemia retinalis (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000664	Synophrys	biolink:PhenotypicFeature	skos:exactMatch	SCTID:253207002	Synophrys (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000667	Phthisis bulbi	biolink:PhenotypicFeature	skos:exactMatch	SCTID:4229009	Globe of eye shrunken (disorder)	biolink:Disease	semapv:findingToDisorderExactMatch	semapv:ManualMappingCuration		
HP:0000710	Hyperorality	biolink:PhenotypicFeature	skos:exactMatch	sssom:NoTermFound			skos:mappingRelation	semapv:ManualMappingCuration		
