# curie_map:
#   semapv: https://w3id.org/semapv/vocab/
#   LOINC: http://loinc.org/rdf/
#   UBERON: http://purl.obolibrary.org/obo/UBERON_
#   skos: http://www.w3.org/2004/02/skos/core#
#   wikidata: https://www.wikidata.org/entity/
#   orcid: https://orcid.org/
# license: http://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2023-05-01'
# mapping_set_description: "This mapping set contains mappings between LOINC parts and Uberon anatomical entities. Predicate revisions on qualified parts, and the derived unqualified rows, were produced by an LLM agent (semapv:AgentBasedMatching); the underlying subject-object mappings remain the original manual curation."
# mapping_set_id: http://w3id.org/sssom/commons/monarch/mappings/loincpart2uberon.sssom.tsv
# mapping_tool: https://claude.com/claude-code
# issue_tracker: https://github.com/monarch-initiative/monarch-mapping-commons/issues
# creator_label: "Monarch Initiative"
# creator_id:
#   - wikidata:Q34645736
#   - orcid:0000-0002-5316-1399
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
LOINC:LP7604-4	Stool	skos:exactMatch	UBERON:0001988	feces	semapv:ManualMappingCuration	
LOINC:LP7565-7	Saliva	skos:exactMatch	UBERON:0001836	saliva	semapv:ManualMappingCuration	
LOINC:LP7600-2	Sputum	skos:exactMatch	UBERON:0007311	sputum	semapv:ManualMappingCuration	
LOINC:LP7000-5	Amniotic fluid	skos:exactMatch	UBERON:0000173	amniotic fluid	semapv:ManualMappingCuration	
LOINC:LP7255-5	Gastric fluid	skos:relatedMatch	UBERON:0000174	excreta	semapv:ManualMappingCuration	
LOINC:LP7280-3	Hair	skos:exactMatch	UBERON:0001037	strand of hair	semapv:ManualMappingCuration	
LOINC:LP7592-1	Synovial fluid	skos:exactMatch	UBERON:0001090	synovial fluid	semapv:ManualMappingCuration	
LOINC:LP7413-0	Meconium	skos:exactMatch	UBERON:0007109	meconium	semapv:ManualMappingCuration	
LOINC:LP7486-6	Pleural fluid	skos:exactMatch	UBERON:0001087	pleural fluid	semapv:ManualMappingCuration	
LOINC:LP201886-1	Lower respiratory specimen	skos:exactMatch	UBERON:0001558	lower respiratory tract	semapv:ManualMappingCuration	
LOINC:LP208441-8	Upper respiratory specimen	skos:exactMatch	UBERON:0001557	upper respiratory tract	semapv:ManualMappingCuration	
LOINC:LP208442-6	Respiratory specimen	skos:exactMatch	UBERON:0000065	respiratory tract	semapv:ManualMappingCuration	
LOINC:LP7507-9	Peritoneal fluid	skos:exactMatch	UBERON:0001268	peritoneal fluid	semapv:ManualMappingCuration	
LOINC:LP7589-7	Semen	skos:exactMatch	UBERON:0001968	semen	semapv:ManualMappingCuration	
LOINC:LP7410-6	Bone marrow	skos:exactMatch	UBERON:0002371	bone marrow	semapv:ManualMappingCuration	
LOINC:LP426511-4	Umbilical cord	skos:exactMatch	UBERON:0002331	umbilical cord	semapv:ManualMappingCuration	
LOINC:LP30875-6	Nasopharynx	skos:exactMatch	UBERON:0001728	nasopharynx	semapv:ManualMappingCuration	
LOINC:LP7579-8	Serum, Plasma or Blood	skos:exactMatch	UBERON:0000178	blood	semapv:ManualMappingCuration	
LOINC:LP7271-2	Vaginal	skos:exactMatch	UBERON:0000996	vagina	semapv:ManualMappingCuration	
LOINC:LP7633-3	Throat	skos:exactMatch	UBERON:0000341	throat	semapv:ManualMappingCuration	
LOINC:LP7715-8	Vitreous fluid	skos:exactMatch	UBERON:0001797	vitreous humor	semapv:ManualMappingCuration	
LOINC:LP7261-3	Genital	skos:exactMatch	UBERON:0000990	genitalia	semapv:ManualMappingCuration	
LOINC:LP7162-3	Cervix	skos:exactMatch	UBERON:0000002	uterine cervix	semapv:ManualMappingCuration	
LOINC:LP7466-8	Pericardial fluid	skos:exactMatch	UBERON:0002409	pericardial fluid	semapv:ManualMappingCuration	
LOINC:LP7443-7	Nose	skos:exactMatch	UBERON:0000004	nose	semapv:ManualMappingCuration	
LOINC:LP7069-0	Blood cord	skos:exactMatch	UBERON:0012168	umbilical cord blood	semapv:ManualMappingCuration	
LOINC:LP281788-2	Blood^Fetus	skos:exactMatch	UBERON:0012168	umbilical cord blood	semapv:ManualMappingCuration	
LOINC:LP29830-4	blood^donor	skos:broadMatch	UBERON:0000178	blood	semapv:ManualMappingCuration	
LOINC:LP7431-2	Milk	skos:exactMatch	UBERON:0001913	milk	semapv:ManualMappingCuration	
LOINC:LP36760-4	Skin	skos:exactMatch	UBERON:0000014	zone of skin	semapv:ManualMappingCuration	
LOINC:LP30364-1	Urethra	skos:exactMatch	UBERON:0000057	urethra	semapv:ManualMappingCuration	
LOINC:LP7068-2	Blood capillary	skos:exactMatch	UBERON:0001982	blood capillary	semapv:ManualMappingCuration	
LOINC:LP7067-4	Blood arterial	skos:exactMatch	UBERON:0013755	arterial blood	semapv:ManualMappingCuration	
LOINC:LP7073-2	Blood venous	skos:exactMatch	UBERON:0013756	venous blood	semapv:ManualMappingCuration	
LOINC:LP7006-2	Anal	skos:exactMatch	UBERON:0001353	anal region	semapv:ManualMappingCuration	
LOINC:LP34092-4	Penis	skos:exactMatch	UBERON:0000989	penis	semapv:ManualMappingCuration	
LOINC:LP7438-7	Nail	skos:exactMatch	UBERON:0001705	nail	semapv:ManualMappingCuration	
LOINC:LP7091-4	Bronchial	skos:exactMatch	UBERON:0002185	bronchus	semapv:ManualMappingCuration	
LOINC:LP36498-1	Bronchoalveolar lavage	skos:exactMatch	UBERON:0006524	alveolar system	semapv:ManualMappingCuration	
LOINC:LP150065-3	Prostatic fluid	skos:exactMatch	UBERON:0004796	prostatic fluid	semapv:ManualMappingCuration	
LOINC:LP7084-9	Brain	skos:exactMatch	UBERON:0000955	brain	semapv:ManualMappingCuration	
LOINC:LP7218-3	Eye	skos:exactMatch	UBERON:0000970	eye	semapv:ManualMappingCuration	
LOINC:LP7477-5	Placenta	skos:exactMatch	UBERON:0001987	placenta	semapv:ManualMappingCuration	
LOINC:LP7217-5	Exudate	skos:exactMatch	UBERON:0007780	exudate	semapv:ManualMappingCuration	
LOINC:LP7618-4	Sweat	skos:exactMatch	UBERON:0001089	sweat	semapv:ManualMappingCuration	
LOINC:LP17770-6	Mucus	skos:exactMatch	UBERON:0000912	mucus	semapv:ManualMappingCuration	
LOINC:LP7161-5	Cervical mucus	skos:exactMatch	UBERON:0000316	cervical mucus	semapv:ManualMappingCuration	
LOINC:LP7407-2	Lung	skos:exactMatch	UBERON:0002048	lung	semapv:ManualMappingCuration	
LOINC:LP7649-9	Trachea	skos:exactMatch	UBERON:0003126	trachea	semapv:ManualMappingCuration	
LOINC:LP7717-4	Vomitus	skos:exactMatch	UBERON:0000172	vomitus	semapv:ManualMappingCuration	
LOINC:LP7400-7	Liver	skos:exactMatch	UBERON:0002107	liver	semapv:ManualMappingCuration	
LOINC:LP281813-8	liver^fetus	skos:broadMatch	UBERON:0002107	liver	semapv:ManualMappingCuration	
LOINC:LP7188-8	Ear	skos:exactMatch	UBERON:0001690	ear	semapv:ManualMappingCuration	
LOINC:LP7193-8	Egg yolk	skos:exactMatch	UBERON:0007378	egg yolk	semapv:ManualMappingCuration	
