# curie_map:
#   APO: http://purl.obolibrary.org/obo/APO_
#   DDPHENO: http://purl.obolibrary.org/obo/DDPHENO_
#   FBcv: http://purl.obolibrary.org/obo/FBcv_
#   FYPO: http://purl.obolibrary.org/obo/FYPO_
#   HP: http://purl.obolibrary.org/obo/HP_
#   MP: http://purl.obolibrary.org/obo/MP_
#   PHIPO: http://purl.obolibrary.org/obo/PHIPO_
#   PLANP: http://purl.obolibrary.org/obo/PLANP_
#   WBPhenotype: http://purl.obolibrary.org/obo/WBPhenotype_
#   XPO: http://purl.obolibrary.org/obo/XPO_
#   ZP: http://purl.obolibrary.org/obo/ZP_
#   obo: http://purl.obolibrary.org/obo/
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_set_description: A manual matching pipeline maintained by the Monarch Initiative.
# mapping_set_id: http://w3id.org/sssom/commons/monarch/upheno-lexical-oak.sssom.tsv
# object_source: obo:mp
# subject_source: obo:hp
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	subject_source	object_source
DDPHENO:0000346	decreased protein kinase activity (DDPHENO)	skos:exactMatch	FYPO:0001382	decreased protein kinase activity (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000347	abolished protein kinase activity (DDPHENO)	skos:exactMatch	FYPO:0001384	abolished protein kinase activity (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000348	increased protein kinase activity (DDPHENO)	skos:exactMatch	FYPO:0002700	increased protein kinase activity (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000379	decreased vegetative cell size (DDPHENO)	skos:exactMatch	FYPO:0000645	small vegetative cell (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000385	abolished cytokinesis (DDPHENO)	skos:exactMatch	FYPO:0000417	abolished cytokinesis (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000394	decreased growth rate (DDPHENO)	skos:exactMatch	MP:0001732	postnatal growth retardation (MPO)	semapv:LexicalMatching	obo:ddpheno	obo:mp
DDPHENO:0000397	aberrant cytoskeleton organization (DDPHENO)	skos:exactMatch	FYPO:0000802	abnormal cytoskeleton organization (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000412	aberrant cell-cell adhesion (DDPHENO)	skos:exactMatch	PLANP:0000094	abnormal cell-cell adhesion (PLANP)	semapv:LexicalMatching	obo:ddpheno	obo:planp
DDPHENO:0000413	aberrant microtubule cytoskeleton organization (DDPHENO)	skos:exactMatch	FYPO:0000054	abnormal microtubule cytoskeleton organization (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000424	abolished sporulation (DDPHENO)	skos:exactMatch	FYPO:0000583	abolished sporulation (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000428	decreased fatty acid level (DDPHENO)	skos:exactMatch	MP:0005282	decreased fatty acids level (MPO)	semapv:LexicalMatching	obo:ddpheno	obo:mp
DDPHENO:0000431	mitotic G1 phase arrest (DDPHENO)	skos:exactMatch	FYPO:0000445	cell cycle arrest in mitotic G1 phase (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000453	abolished protein localization to nucleus (DDPHENO)	skos:exactMatch	FYPO:0003450	abolished protein localization to nucleus (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000471	aberrant protein localization (DDPHENO)	skos:exactMatch	WBPhenotype:0000436	protein subcellular localization variant (WBP)	semapv:LexicalMatching	obo:ddpheno	obo:wbphenotype
DDPHENO:0000490	decreased calcium ion import (DDPHENO)	skos:exactMatch	FYPO:0001954	decreased calcium import (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000499	abolished cell-substrate adhesion (DDPHENO)	skos:exactMatch	FYPO:0000010	abolished cell-substrate adhesion (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000504	decreased sporulation (DDPHENO)	skos:exactMatch	FYPO:0000584	decreased sporulation frequency (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000513	aberrant sporulation (DDPHENO)	skos:exactMatch	PHIPO:0000078	abnormal asexual sporulation (PHIPO)	semapv:LexicalMatching	obo:ddpheno	obo:phipo
DDPHENO:0000513	aberrant sporulation (DDPHENO)	skos:exactMatch	FYPO:0000121	abnormal sporulation (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000535	decreased glycogen level (DDPHENO)	skos:exactMatch	MP:0005439	decreased glycogen level (MPO)	semapv:LexicalMatching	obo:ddpheno	obo:mp
DDPHENO:0000536	increased glutamate level (DDPHENO)	skos:exactMatch	MP:0030736	increased glutamic acid level (MPO)	semapv:LexicalMatching	obo:ddpheno	obo:mp
DDPHENO:0000563	aberrant endoplasmic reticulum organization (DDPHENO)	skos:exactMatch	FYPO:0000805	abnormal endoplasmic reticulum organization (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000568	decreased lipid droplet formation (DDPHENO)	skos:exactMatch	FYPO:0006054	decreased lipid droplet formation (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000569	increased lipid droplet formation (DDPHENO)	skos:exactMatch	FYPO:0006945	increased lipid droplet formation (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000570	abolished lipid droplet formation (DDPHENO)	skos:exactMatch	FYPO:0007343	abolished lipid droplet formation (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000572	decreased double-strand break repair via homologous recombination (DDPHENO)	skos:exactMatch	FYPO:0003912	decreased double-strand break repair via homologous recombination (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000573	abolished double-strand break repair via homologous recombination (DDPHENO)	skos:exactMatch	FYPO:0005399	abolished double-strand break repair via homologous recombination (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000575	aberrant double-strand break repair via nonhomologous end joining (DDPHENO)	skos:exactMatch	FYPO:0003661	abnormal double-strand break repair via nonhomologous end joining (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000576	abolished double-strand break repair via nonhomologous end joining (DDPHENO)	skos:exactMatch	FYPO:0005459	abolished double-strand break repair via nonhomologous end joining (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000577	decreased double-strand break repair via nonhomologous end joining (DDPHENO)	skos:exactMatch	FYPO:0004287	decreased double-strand break repair via nonhomologous end joining (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000578	increased double-strand break repair via nonhomologous end joining (DDPHENO)	skos:exactMatch	FYPO:0003584	increased double-strand break repair via nonhomologous end joining (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000633	abolished protein localization to autophagosome (DDPHENO)	skos:exactMatch	PHIPO:0000972	abolished protein localization to autophagosome (PHIPO)	semapv:LexicalMatching	obo:ddpheno	obo:phipo
DDPHENO:0000646	decreased protein localization to cleavage furrow (DDPHENO)	skos:exactMatch	FYPO:0005551	decreased protein localization to cleavage furrow (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000660	aberrant protein localization to mitotic spindle (DDPHENO)	skos:exactMatch	FYPO:0002824	abnormal protein localization to mitotic spindle (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000661	abolished protein localization to mitotic spindle (DDPHENO)	skos:exactMatch	FYPO:0003186	abolished protein localization to mitotic spindle (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000662	decreased protein localization to mitotic spindle (DDPHENO)	skos:exactMatch	FYPO:0002825	decreased protein localization to mitotic spindle (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000663	increased protein localization to mitotic spindle (DDPHENO)	skos:exactMatch	FYPO:0004635	increased protein localization to mitotic spindle (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000664	aberrant protein localization to mitotic spindle midzone (DDPHENO)	skos:exactMatch	FYPO:0004883	abnormal protein localization to mitotic spindle midzone (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000665	abolished protein localization to mitotic spindle midzone (DDPHENO)	skos:exactMatch	FYPO:0003484	abolished protein localization to mitotic spindle midzone (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000666	decreased protein localization to mitotic spindle midzone (DDPHENO)	skos:exactMatch	FYPO:0003841	decreased protein localization to mitotic spindle midzone (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0000672	aberrant protein localization to cell periphery (DDPHENO)	skos:exactMatch	FYPO:0006533	abnormal protein localization to cell periphery (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0001005	aberrant cellular metabolic process (DDPHENO)	skos:exactMatch	FYPO:0000860	abnormal metabolic process (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0001005	aberrant cellular metabolic process (DDPHENO)	skos:exactMatch	HP:0032245	Abnormal metabolism (HPO)	semapv:LexicalMatching	obo:ddpheno	obo:hp
DDPHENO:0001006	aberrant phagocytosis (DDPHENO)	skos:exactMatch	HP:0010977	Abnormal phagocytosis (HPO)	semapv:LexicalMatching	obo:ddpheno	obo:hp
DDPHENO:0001008	aberrant cellular process (DDPHENO)	skos:exactMatch	FYPO:0000628	abnormal cellular process (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0001009	aberrant localization (DDPHENO)	skos:exactMatch	PHIPO:0001094	abnormal localization (PHIPO)	semapv:LexicalMatching	obo:ddpheno	obo:phipo
DDPHENO:0001013	aberrant cell differentiation (DDPHENO)	skos:exactMatch	WBPhenotype:0000354	cell differentiation variant (WBP)	semapv:LexicalMatching	obo:ddpheno	obo:wbphenotype
DDPHENO:0001029	aberrant establishment or maintenance of cell polarity (DDPHENO)	skos:exactMatch	FYPO:0005568	abnormal cell polarity (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0001030	aberrant protein secretion (DDPHENO)	skos:exactMatch	WBPhenotype:0000724	protein secretion variant (WBP)	semapv:LexicalMatching	obo:ddpheno	obo:wbphenotype
DDPHENO:0001034	aberrant cellular response to stress (DDPHENO)	skos:exactMatch	FYPO:0000162	abnormal cellular response to stress (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0001035	aberrant cellular response to heat (DDPHENO)	skos:exactMatch	FYPO:0000212	abnormal cellular response to heat (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0001039	aberrant cellular response to starvation (DDPHENO)	skos:exactMatch	FYPO:0000713	abnormal cellular response to starvation (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0001041	aberrant vacuole organization (DDPHENO)	skos:exactMatch	FYPO:0002803	abnormal vacuole organization (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0001044	aberrant cell adhesion (DDPHENO)	skos:exactMatch	XPO:0133340	abnormal cell adhesion (XPO)	semapv:LexicalMatching	obo:ddpheno	obo:xpo
DDPHENO:0001046	aberrant spore germination (DDPHENO)	skos:exactMatch	FYPO:0000305	abnormal spore germination (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0001047	aberrant transport (DDPHENO)	skos:exactMatch	FYPO:0001720	abnormal transport (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0001057	abolished actin filament polymerization (DDPHENO)	skos:exactMatch	FYPO:0003000	abolished actin filament polymerization (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0001078	aberrant mitochondrion morphology (DDPHENO)	skos:exactMatch	MP:0006035	abnormal mitochondrial morphology (MPO)	semapv:LexicalMatching	obo:ddpheno	obo:mp
DDPHENO:0001078	aberrant mitochondrion morphology (DDPHENO)	skos:exactMatch	FYPO:0000359	abnormal mitochondrial morphology (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0001084	aberrant vegetative growth (DDPHENO)	skos:exactMatch	PHIPO:0000047	abnormal asexual reproduction (PHIPO)	semapv:LexicalMatching	obo:ddpheno	obo:phipo
DDPHENO:0001105	aberrant catalytic activity (DDPHENO)	skos:exactMatch	PHIPO:0000434	abnormal catalytic activity (PHIPO)	semapv:LexicalMatching	obo:ddpheno	obo:phipo
DDPHENO:0001110	aberrant exocytosis (DDPHENO)	skos:exactMatch	FYPO:0007873	abnormal exocytosis (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0001110	aberrant exocytosis (DDPHENO)	skos:exactMatch	MP:0020848	abnormal exocytosis (MPO)	semapv:LexicalMatching	obo:ddpheno	obo:mp
DDPHENO:0001113	aberrant gene expression (DDPHENO)	skos:exactMatch	WBPhenotype:0000717	gene expression variant (WBP)	semapv:LexicalMatching	obo:ddpheno	obo:wbphenotype
DDPHENO:0001122	aberrant chemotaxis (DDPHENO)	skos:exactMatch	XPO:0131705	abnormal chemotaxis (XPO)	semapv:LexicalMatching	obo:ddpheno	obo:xpo
DDPHENO:0001169	delayed cytokinesis (DDPHENO)	skos:exactMatch	FYPO:0000420	delayed onset of cytokinesis (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0001170	aberrant mitotic actomyosin contractile ring contraction (DDPHENO)	skos:exactMatch	FYPO:0001364	abnormal actomyosin contractile ring contraction (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0001171	aberrant molecular function (DDPHENO)	skos:exactMatch	FYPO:0000707	abnormal molecular function (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0001171	aberrant molecular function (DDPHENO)	skos:exactMatch	PHIPO:0000413	abnormal molecular function (PHIPO)	semapv:LexicalMatching	obo:ddpheno	obo:phipo
DDPHENO:0001172	increased guanyl-nucleotide exchange factor activity (DDPHENO)	skos:exactMatch	FYPO:0005351	increased guanyl-nucleotide exchange factor activity (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0001182	decreased spore size (DDPHENO)	skos:exactMatch	FYPO:0000346	small spores (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0001188	abolished macroautophagy (DDPHENO)	skos:exactMatch	FYPO:0000380	abolished macroautophagy (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0001189	decreased macroautophagy (DDPHENO)	skos:exactMatch	FYPO:0000381	decreased macroautophagy (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0001190	increased macroautophagy (DDPHENO)	skos:exactMatch	FYPO:0000384	increased macroautophagy (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
DDPHENO:0001206	aberrant lysosome morphology (DDPHENO)	skos:exactMatch	WBPhenotype:0002097	lysosome morphology variant (WBP)	semapv:LexicalMatching	obo:ddpheno	obo:wbphenotype
DDPHENO:0001209	aberrant translation (DDPHENO)	skos:exactMatch	WBPhenotype:0000121	translation variant (WBP)	semapv:LexicalMatching	obo:ddpheno	obo:wbphenotype
DDPHENO:0001209	aberrant translation (DDPHENO)	skos:exactMatch	MP:0013272	abnormal translation (MPO)	semapv:LexicalMatching	obo:ddpheno	obo:mp
DDPHENO:0001211	decreased translation (DDPHENO)	skos:exactMatch	FYPO:0001798	decreased translation (FYPO)	semapv:LexicalMatching	obo:ddpheno	obo:fypo
